terminal coalgebra,,,,,https://ncatlab.org/nlab/show/terminal+coalgebra+for+an+endofunctor,
terminal object,,Terminal object: Q529752,,,,
terminating presentation,,??,,,,
theory,,Theory (mathematics): Q17988630,,,,
thin filler condition,,,??,,,
thin square,,,??,,,
third homology,,,??,,,
topological Hausdorff group,,,??,,,
topological complexity,,Topological complexity: Q7825025,,,,
topological functor,,,??,,,
topological space,,Topological space: Q179899,,,,
topos,,Topos (mathematics): Q2143621,,,,
topos inclusion,,??,,,,
topos theory,,Topos theory: Q2143621,,,,
transformation,,Transformation (mathematics): Q12202238,,,,
triangulated category,,Triangulated category: Q7840150,,,,
tricategory,,Tricategory: Q16958581,,,,
triequivalent,,,??,,,
triple,,Triple (mathematics): Q600590,Triple (category theory): Q1630568,,,
trivial,,Trivial (mathematics): Q945127,,,,
tube algebra,,,??,,,
twisting,,Twisting: Q258460,,,,
type,,Type (mathematics): Q1056428,,,,
type constructor,,Type constructor: Q7860899,,,,
ultrafilter,,Ultrafilter: Q1571831,,,,
uniform completion,,,??,,,
union,,Union (mathematics): Q185359,Union (topology): Q3532109,Union (set theory): Q185359,,
unitary restriction category,,,??,,,
universal algebra,,Universal algebra: Q1636734,,,,
universal property,,Universal property (mathematics): Q1417809,,,,
varietal,,Varietal: Q958314,,,,
varietor,,,??,,,
variety,,Variety (mathematics): Q19623879,,,,
vector,,Vector (mathematics): Q13471665,,,,
vector field,,Vector field: Q186247,,,,
vector lattice,,Vector lattice: Q2152570,,,,
vertical arrow,,,maybe 2-category?,,,
von Neumann axiom,,,https://en.wikipedia.org/wiki/Von_Neumann_regular_ring,,,
walk,,Walk (graph theory): Q166507,,,,
weak double category,,,double category instead?,,,
weak equivalence,,Weak equivalence (mathematics): Q17104639,,,,
weak inverse,,Weak inverse: Q7977954,,,,
weak n-category,,Weak n-category: Q7977957,,,,
wiring diagram,,Wiring diagram: Q255362,,,,
